product_name,category,weight,fragility_level,storage_condition
Dustproof Toys Device #2286,Medical,15.557,Medium,Frozen
Advanced Automotive Capsule #4035,Luxury,12.915,Medium,Ventilated
Airtight Luxury Lot #7442,Furniture,21.913,Low,Dark Storage
Shockproof Apparel Package #5037,Luxury,72.625,High,Room Temperature
Deluxe Chemical Crate #143,Apparel,40.241,Medium,Ventilated
Advanced Cosmetics Cylinder #1288,Electronics,92.559,Medium,Room Temperature
Shockproof Medical Component #7127,Cosmetics,55.895,Low,Dry Storage
Portable Food & Beverage Pack #614,Apparel,79.777,Medium,Sterile
Heavy-Duty Food & Beverage Gadget #1543,Automotive,17.03,High,Climate Controlled
Airtight Pharmaceuticals Pallet #3198,Pharmaceuticals,63.054,Low,Room Temperature
Industrial Toys Pouch #8854,Medical,47.344,High,Climate Controlled
Standard Pharmaceuticals Box #2165,Agriculture,5.459,Medium,Climate Controlled
Lightweight Sports Drum #3503,Electronics,67.572,Medium,Ventilated
Heavy-Duty Agriculture Capsule #8531,Chemical,75.885,High,Frozen
Commercial Retail Cylinder #2351,Apparel,45.399,Low,Humidity Controlled
Advanced Chemical Assembly #9275,Sports,92.608,Medium,Frozen
Advanced Toys Cartridge #344,Electronics,84.293,Low,Dark Storage
Deluxe Industrial Box #9672,Cosmetics,80.505,High,Humidity Controlled
Airtight Cosmetics Module #9129,Medical,84.71,Medium,Climate Controlled
Fireproof Retail Vessel #1836,Apparel,72.92,Medium,Sterile
Portable Electronics Case #9442,Furniture,26.8,High,Ventilated
Shockproof Sports Canister #7600,Medical,58.661,Low,Pressurized
Industrial Apparel Capsule #6835,Luxury,21.837,High,Sterile
Portable Food & Beverage Pack #1492,Medical,48.492,High,Pressurized
Heavy-Duty Luxury Kit #7306,Agriculture,27.852,High,Refrigerated
Fireproof Chemical Capsule #1431,Industrial,59.914,High,Pressurized
Commercial Luxury Module #7340,Apparel,3.535,High,Sterile
Industrial Medical Box #7454,Luxury,31.568,Medium,Room Temperature
Advanced Pharmaceuticals Canister #5773,Retail,28.281,High,Dry Storage
Standard Medical Package #2354,Pharmaceuticals,82.372,Medium,Climate Controlled
Compact Electronics Bottle #3510,Cosmetics,12.843,High,Dry Storage
Residential Electronics Lot #5561,Sports,25.8,Medium,Refrigerated
Heavy-Duty Agriculture Widget #866,Pharmaceuticals,10.174,High,Pressurized
Lightweight Electronics Vessel #6216,Sports,70.418,High,Refrigerated
Residential Pharmaceuticals Set #3955,Medical,86.716,Low,Humidity Controlled
Industrial Retail Barrel #9233,Sports,28.903,Medium,Dry Storage
Dustproof Luxury Assembly #214,Industrial,1.727,High,Refrigerated
Commercial Toys Bottle #2418,Pharmaceuticals,68.537,Medium,Frozen
Portable Industrial Bag #8961,Pharmaceuticals,90.971,High,Pressurized
Lightweight Retail Module #353,Agriculture,91.55,Medium,Climate Controlled
Lightweight Luxury Gadget #8765,Pharmaceuticals,82.688,High,Frozen
Waterproof Pharmaceuticals Pack #396,Automotive,39.829,Medium,Pressurized
Premium Electronics Can #2217,Agriculture,49.22,High,Pressurized
Lightweight Pharmaceuticals Bundle #259,Toys,14.22,Low,Dry Storage
Dustproof Industrial Gadget #4851,Furniture,52.633,High,Ventilated
Shockproof Automotive Pallet #4594,Electronics,33.05,High,Climate Controlled
Commercial Food & Beverage Canister #3527,Food & Beverage,38.854,Low,Dark Storage
Vacuum-Sealed Automotive Drum #2897,Agriculture,7.796,High,Dry Storage
Compact Cosmetics Canister #4670,Agriculture,72.361,High,Humidity Controlled
